AbilityID	GOID	AbilityName	isCastAble	CastTime	CastAnimStart	CastAnimMid	CastAnimEnd	TargetAnim	ValueFrom	ValueTo	isBuff	BuffTime
68	-2147414016	PersonalFirewall1Ability	false									
69	-2147412992	ProcessorLag1Ability	false									
70	-2147411968	QuickRecoveryAbility	false									
71	-2147410944	RepairAndUpgradeAbility	false									
72	-2147409920	ResistCombat1Ability	false									
73	-2147408896	ResistContagionAbility	false									
74	-2147407872	ResistDamageAbility	false									
75	-2147406848	ResistInfectionAbility	false									
76	-2147405824	ResistVirusesAbility	false									
77	-2147404800	RestoreHealth1Ability	false									
78	-2147403776	FocusAttributeAbility	false									
79	-2147402752	PerceptionAttributeAbility	false									
80	-2147401728	RestoreHealth2Ability	false									
81	-2147400704	ReasonAttributeAbility	false									
82	-2147399680	BeliefAttributeAbility	false									
83	-2147398656	SelectivePhageAbility	false									
84	-2147397632	VitalityAttributeAbility	false									
85	-2147396608	MezAbility	false									
86	-2147395584	Slow1Ability	false									
87	-2147394560	HasteAbility	false									
88	-2147393536	InnerstrengthSitRegenRateAbility	false									
89	-2147392512	StaticField1Ability	false									
90	-2147391488	BlindAbility	false									
91	-2147390464	ConfuseAbility	false									
92	-2147389440	TeamMedicAbility	false									
93	-2147388416	EnrageAbility	false									
94	-2147387392	ImpairConnectionAbility	false									
95	-2147386368	TransmitVirusAbility	false									
96	-2147385344	PowerlessAbility	false									
97	-2147384320	UILag1Ability	false									
98	-2147383296	ViralAttackerAbility	false									
99	-2147382272	RootedAbility	false									
100	-2147381248	SlowAbility	false									
101	-2147380224	AikidoAbility	false									
102	-2147379200	StunAbility	false									
103	-2147378176	WoundedAbility	false									
104	-2147377152	None	false									
105	-2147376128	BodyShotAbility	false									
106	-2147375104	MaxHealthAbility	false									
107	-2147374080	FlashBombAbility	false									
108	-2147373056	CurrentHealthAbility	false									
109	-2147372032	MaxInnerstrengthAbility	false									
110	-2147371008	CombatEvasionAbility	false									
111	-2147369984	CurrentInnerstrengthAbility	false									
112	-2147368960	HealthRegenRateAbility	false									
113	-2147367936	CombatInsightAbility	false									
114	-2147366912	InnerstrengthRegenRateAbility	false									
115	-2147365888	MovementSpeedAbility	false									
116	-2147364864	CombatToughnessAbility	false									
117	-2147363840	InnerstrengthCostModifierAbility	false									
118	-2147362816	CutthroatAbility	false									
119	-2147361792	DisarmTrapsAbility	false									
120	-2147360768	DisguiseAbility	false									
121	-2147359744	EscapeSideRollAbility	false									
122	-2147358720	EscapeBackRollAbility	false									
123	-2147357696	FindWeaknessAbility	false									
124	-2147356672	FirearmsAbility	false									
125	-2147355648	FirearmsExpertAbility	false									
126	-2147354624	PistolDisarmingShotAbility	false									
127	-2147353600	BuffAreaRadiusAbility	false									
128	-2147352576	GunmanAbility	false									
129	-2147351552	HandgunsAbility	false									
130	-2147350528	HinderingShotAbility	false									
131	-2147349504	InfiltratorAbility	false									
132	-2147348480	KarateAbility	false									
133	-2147347456	KungFuAbility	false									
134	-2147346432	LegSweepAbility	false									
135	-2147345408	MartialArtsAbility	false									
136	-2147344384	MartialArtsExpertiseAbility	false									
137	-2147343360	MartialArtsInitiateAbility	false									
138	-2147342336	GuardBreakerAbility	false									
139	-2147341312	IronGuardAbility	false									
140	-2147340288	MultifightingAbility	false									
141	-2147339264	NeuroDartAbility	false									
142	-2147338240	OpenLocksAbility	false									
143	-2147337216	OperativeAbility	false									
144	-2147336192	DamageResistanceAbility	false									
145	-2147335168	OverhandSmashAbility	false									
146	-2147334144	PoisonKnifeAbility	false									
147	-2147333120	RiflesAbility	false									
148	-2147332096	SharpshooterAbility	false									
149	-2147331072	SixthSenseAbility	false									
150	-2147330048	CompelCloseCombatAbility	false									
151	-2147329024	SneakAbility	false									
152	-2147328000	SneakAttackSpinBackAbility	false									
153	-2147326976	SneakAttackDropKickAbility	false									
154	-2147325952	SoldierAbility	false									
155	-2147324928	SpyAbility	false									
156	-2147323904	StealthAwarenessAbility	false									
157	-2147322880	ViralResistanceAbility	false									
158	-2147321856	SubmachinegunsAbility	false									
159	-2147320832	MeleePhysicalDamageAbility	false									
160	-2147319808	AllAbilityLevelsAbility	false									
161	-2147318784	UncannySensesAbility	false									
162	-2147317760	MaxBuffBufferAbility	false									
163	-2147316736	CombatTacticsAbility	false									
164	-2147315712	WeakPointsAbility	false									
165	-2147314688	TapDataNodeAbility	false									
166	-2147313664	HackConstructKeyAbility	false									
167	-2147312640	None	false									
168	-2147311616	WithdrawCombatAbility	false									
169	-2147310592	EmergencyRepairs1Ability	false									
170	-2147309568	PassiveCodeAbility	false									
171	-2147308544	RangePhysicalDamageAbility	false									
172	-2147307520	ViralDamageAbility	false									
173	-2147306496	CombatEnhancement1Ability	false									
174	-2147305472	HealDamageAbility	false									
175	-2147304448	InvisibilityAbility	false									
176	-2147303424	CoveringFireAbility	false									
177	-2147302400	DebuffAreaRadiusAbility	false									
178	-2147301376	InvokedDebuffTimesAbility	false									
179	-2147300352	InvokedBuffTimesAbility	false									
180	-2147299328	MeleeDamageResistanceAbility	false									
181	-2147298304	RangedDamageResistanceAbility	false									
182	-2147297280	StealthDamageResistanceAbility	false									
183	-2147296256	ViralDeflectionAbility	false									
184	-2147295232	HyperSprintAbility	false									
185	-2147294208	IntenseAttackAbility	false									
186	-2147293184	ImprovedSneakAbility	false									
187	-2147292160	PillBolsterHealthAbility	false									
188	-2147291136	PillBolsterHealth2Ability	false									
189	-2147290112	PillBolsterHealth3Ability	false									
190	-2147289088	PillHealthReplenish1Ability	false									
191	-2147288064	PillHealthReplenish2Ability	false									
192	-2147287040	PillHealthReplenish3Ability	false									
193	-2147286016	PillHealthReplenish4Ability	false									
194	-2147284992	ConditionStatesAbility	false									
195	-2147283968	ForceCloseCombatAbility	false									
196	-2147282944	IgnorePainAbility	false									
197	-2147281920	HeadButtAbility	false									
198	-2147280896	CheapShotAbility	false									
199	-2147279872	DazeAbility	false									
200	-2147278848	OffBalanceAbility	false									
201	-2147277824	StaggeredAbility	false									
202	-2147276800	DeathEffectAbility	false									
203	-2147275776	SpeedTacticAbility	false									
204	-2147274752	StealthDetectionAbility	false									
205	-2147273728	GrabTacticAbility	false									
206	-2147272704	PowerTacticAbility	false									
207	-2147271680	WoodenStakeAttackAbility	false									
208	-2147270656	SilverBulletAttackAbility	false									
209	-2147269632	StealthAbility	false									
210	-2147268608	TacticISCostModifierAbility	false									
211	-2147267584	VulnerabilityDurationModifierAbility	false									
212	-2147266560	DamageAgainstVulnerabilityAbility	false									
213	-2147265536	VulnerabilityGenerationPercentAbility	false									
214	-2147264512	SelectionRangeAbility	false									
215	-2147263488	LocateDataNodeAbility	false									
216	-2147262464	JackoutAbility	false									
217	-2147261440	EvadeCombatAbility	false									
218	-2147260416	DisableSecurityDevicesAbility	false									
219	-2147259392	SpeedTacticsAbility	false									
220	-2147258368	PowerTacticsAbility	false									
221	-2147257344	GrabTacticsAbility	false									
222	-2147256320	GrabDamageAbility	false									
223	-2147255296	SpeedDamageAbility	false									
224	-2147254272	PowerDamageAbility	false									
225	-2147253248	GrabGunDamageAbility	false									
226	-2147252224	PowerGunDamageAbility	false									
227	-2147251200	SpeedGunDamageAbility	false									
228	-2147250176	GrabGunTacticsAbility	false									
229	-2147249152	PowerGunTacticsAbility	false									
230	-2147248128	SpeedGunTacticsAbility	false									
231	-2147247104	DisarmedAbility	false									
232	-2147246080	CombatDisarmedAbility	false									
233	-2147245056	ClearHeadAbility	false									
234	-2147244032	RestoreHealth3Ability	false									
235	-2147243008	RestoreHealth5Ability	false									
236	-2147241984	DoctorAbility	false									
237	-2147240960	FastHealing2Ability	false									
238	-2147239936	HarmfulCode2Ability	false									
239	-2147238912	DualHandgunsAbility	false									
240	-2147237888	GunslingerAbility	false									
241	-2147236864	PistolSlideAbility	false									
242	-2147235840	PistolEvasiveAbility	false									
243	-2147234816	PistolAerialAbility	false									
244	-2147233792	PistolBarrageAbility	false									
245	-2147232768	ScattershotAbility	false									
246	-2147231744	DualSubmachineGunsAbility	false									
247	-2147230720	BulletSprayAbility	false									
248	-2147229696	SuppressionFireAbility	false									
249	-2147228672	SlidingVolleyAbility	false									
250	-2147227648	ControlledBurstAbility	false									
251	-2147226624	RiflemanAbility	false									
252	-2147225600	AdvancedRifleryAbility	false									
253	-2147224576	WoundingShotAbility	false									
254	-2147223552	ImmobilizingShotAbility	false									
255	-2147222528	DisablingShotAbility	false									
256	-2147221504	ThreeRoundBurstAbility	false									
257	-2147220480	KungFuMasterAbility	false									
258	-2147219456	KungfuMasteryAbility	false									
259	-2147218432	DimMakStrikeAbility	false									
260	-2147217408	MisdirectPunchAbility	false									
261	-2147216384	MachinegunFistComboAbility	false									
262	-2147215360	PistonKicksAbility	false									
263	-2147214336	KarateMasterAbility	false									
264	-2147213312	KarateExpertiseAbility	false									
265	-2147212288	KiChargedPunchAbility	false									
266	-2147211264	SidekickComboAbility	false									
267	-2147210240	SkyHighSidekickAbility	false									
268	-2147209216	SwirlingKiSummonAbility	false									
269	-2147208192	AikidoMasteryAbility	false									
270	-2147207168	AikidoMasterAbility	false									
271	-2147206144	IronBodyAbility	false									
272	-2147205120	SereneCalmAbility	false									
273	-2147204096	CounterThrowAbility	false									
274	-2147203072	MakiOtoshiAbility	false									
275	-2147202048	ProgrammerAbility	false									
276	-2147201024	DecompileItemsAbility	false									
277	-2147200000	CompileAbility	false									
278	-2147198976	WickedAimAbility	false									
279	-2147197952	DeadlyThrowAbility	false									
280	-2147196928	CripplingThrowAbility	false									
281	-2147195904	WoundingThrowAbility	false									
282	-2147194880	BlindingThrowAbility	false									
283	-2147193856	KnifeThrowerAbility	false									
284	-2147192832	ImprovedSneakAttackAbility	false									
285	-2147191808	AssassinAbility	false									
286	-2147190784	SneakAttackSpinThrowAbility	false									
287	-2147189760	SneakAttackSuplexAbility	false									
288	-2147188736	SneakAttackTopsyTurvyAbility	false									
289	-2147187712	SneakAttackPuntAbility	false									
290	-2147186688	ShadowAbility	false									
291	-2147185664	DesperateSpeedAbility	false									
292	-2147184640	EscapeCartwheelAbility	false									
293	-2147183616	StealthCountermeasuresAbility	false									
294	-2147182592	ShiftyTechniqueAbility	false									
295	-2147181568	CannyStrikeAbility	false									
296	-2147180544	AikidoSpinClayPigeonAbility	false									
297	-2147179520	CryptographyAbility	false									
298	-2147178496	DetectionAbility	false									
299	-2147177472	SuspiciousCynic	false									
300	-2147176448	TrueBeliever	false									
301	-2147175424	TroubledIntellectual	false									
302	-2147174400	NewAgeHippy	false									
303	-2147173376	FanaticSelfImprover	false									
304	-2147172352	DevotedAscetic	false									
305	-2147171328	LunaticFringe	false									
306	-2147170304	InquisitiveGenius	false									
307	-2147169280	SecludedIntrovert	false									
308	-2147168256	DetachedSpectator	false									
309	-2147167232	StandOffAbility	false									
310	-2147166208	ArbalestAbility	false									
311	-2147165184	LogicBlast4Ability	false									
312	-2147164160	LogicBlast5Ability	false									
313	-2147163136	LogicCannon1Ability	false									
314	-2147162112	UpgradeAttacksAbility	false									
315	-2147161088	Stun1Ability	false									
316	-2147160064	DodgeAbility	false									
317	-2147159040	PotencyAbility	false									
318	-2147158016	UpgradeArtistAbility	false									
319	-2147156992	PersonalFirewall2Ability	false									
320	-2147155968	NegativeConditionSweep1Ability	false									
321	-2147154944	Efficiency1Ability	false									
322	-2147153920	BolsterHealth2Ability	false									
323	-2147152896	MovementAccelerator2Ability	false									
324	-2147151872	CounterUpgrade1Ability	false									
325	-2147150848	RestoreRSIAbility	false									
326	-2147149824	RevitalizeRSIAbility	false									
327	-2147148800	AvoidanceAbility	false									
328	-2147147776	CodeBranchingAbility	false									
329	-2147146752	LogicBlast6Ability	false									
330	-2147145728	LogicBarrageAbility	false									
331	-2147144704	LogicCannon2Ability	false									
332	-2147143680	EmergencyRepairs2Ability	false									
333	-2147142656	Stun2Ability	false									
334	-2147141632	BallistaAbility	false									
335	-2147140608	ArtilleristAbility	false									
336	-2147139584	LogicBomb2Ability	false									
337	-2147138560	LogicBomb3Ability	false									
338	-2147137536	MasterKnifeThrowerAbility	false									
339	-2147136512	DeadlyAimAbility	false									
340	-2147135488	ThroatCuttingThrowAbility	false									
341	-2147134464	SeverArteryAbility	false									
342	-2147133440	ViralTransmissionAbility	false									
343	-2147132416	Miasma2Ability	false									
344	-2147131392	CombatHackingAbility	false									
345	-2147130368	RangeBoosterAbility	false									
346	-2147129344	DedicatedCodeAbility	false									
347	-2147128320	SubduingThrowAbility	false									
348	-2147127296	StaggeringThrowAbility	false									
349	-2147126272	HostileProgrammingAbility	false									
350	-2147125248	CodeInfection1Ability	false									
351	-2147124224	CodeInfection2Ability	false									
352	-2147123200	FreezeSystem2Ability	false									
353	-2147122176	InfectArea1Ability	false									
354	-2147121152	DestroyResolve1Ability	false									
355	-2147120128	VectorAbility	false									
356	-2147119104	HowitzerAbility	false									
357	-2147118080	LogicBomb4Ability	false									
358	-2147117056	CodeShieldAbility	false									
359	-2147116032	CodeNukeAbility	false									
360	-2147115008	InsidiousCodeAbility	false									
361	-2147113984	FumbleFieldAbility	false									
362	-2147112960	WhiteNoiseAbility	false									
363	-2147111936	ImprovedInvisibilityAbility	false									
364	-2147110912	SmokeBombAbility	false									
365	-2147109888	GhostStrikeAbility	false									
366	-2147108864	ImpartInvisibilityAbility	false									
367	-2147107840	MasterShadowAbility	false									
368	-2147106816	VanishAbility	false									
369	-2147105792	CorpsmanAbility	false									
370	-2147104768	DedicationAbility	false									
371	-2147103744	GroupRepairs3Ability	false									
372	-2147102720	GroupRepairs4Ability	false									
373	-2147101696	CombatTrainingAbility	false									
374	-2147100672	WeaponsBoostAbility	false									
375	-2147099648	ReviveRSIAbility	false									
376	-2147098624	AdvancedDamageResistanceAbility	false									
377	-2147097600	CancelUpgrade1Ability	false									
378	-2147096576	DeflectVirus1Ability	false									
379	-2147095552	SweepParty1Ability	false									
380	-2147094528	DeflectBullets1Ability	false									
381	-2147093504	GroupHeal1Ability	false									
382	-2147092480	RecallTeamMemberAbility	false									
383	-2147091456	ForceEnhancerAbility	false									
384	-2147090432	DisruptConnectionAbility	false									
385	-2147089408	SneakAttackDivingFrankAbility	false									
386	-2147088384	SneakAttackFreeJointsAbility	false									
387	-2147087360	SneakAttackBullDogAbility	false									
388	-2147086336	SneakAttackRevBullDogAbility	false									
389	-2147085312	MasterAssassinAbility	false									
390	-2147084288	SkriptKiddieAbility	false									
391	-2147083264	EffectiveCodeAbility	false									
392	-2147082240	CodeRot1Ability	false									
393	-2147081216	CodeStop1Ability	false									
394	-2147080192	Overheat2Ability	false									
395	-2147079168	BufferOverflow1Ability	false									
396	-2147078144	CrashAbility	false									
397	-2147077120	GameMasterAbility	false									
398	-2147076096	RepelInfectionAbility	false									
399	-2147075072	ZoneOfPowerlessnessAbility	false									
400	-2147074048	PlagueZone1Ability	false									
401	-2147073024	InefficiencyField1Ability	false									
402	-2147072000	BottleneckFieldAbility	false									
403	-2147070976	DisruptionFieldAbility	false									
404	-2147069952	DespoilerAbility	false									
405	-2147068928	AikidoRedirectionAbility	false									
406	-2147067904	KiBurstAbility	false									
407	-2147066880	PunchReversalAbility	false									
408	-2147065856	AbilityTestAbility	false									
409	-2147064832	ClearMindAbility	false									
410	-2147063808	AikidoGrandmasterAbility	false									
411	-2147062784	AerialTakedownAbility	false									
412	-2147061760	TomoNageAbility	false									
413	-2147060736	RestoreHealth6Ability	false									
414	-2147059712	ExtremeHealingAbility	false									
415	-2147058688	HarmfulCode3Ability	false									
416	-2147057664	RejuvenateRSIAbility	false									
417	-2147056640	UpgradeHealthAbility	false									
418	-2147055616	PhysicianAbility	false									
419	-2147054592	BolsterHealth3Ability	false									
420	-2147053568	DeleteUpgrade2Ability	false									
421	-2147052544	EnhancedDodgeAbility	false									
422	-2147051520	EnhancedPotencyAbility	false									
423	-2147050496	MovementAccelerator3Ability	false									
424	-2147049472	NegativeConditionSweep2Ability	false									
425	-2147048448	UpgradeMasterAbility	false									
426	-2147047424	KungFuGrandmasterAbility	false									
427	-2147046400	TripleFrontKickAbility	false									
428	-2147045376	SuicidalButterflyAbility	false									
429	-2147044352	ExtremeFallingKickAbility	false									
430	-2147043328	WoodenDummyDrillAbility	false									
431	-2147042304	KungFuPerfectionAbility	false									
432	-2147041280	NPCKilledOnlyByHolyWaterAbility	false									
433	-2147040256	TotalDedicationAbility	false									
434	-2147039232	GroupRepairs5Ability	false									
435	-2147038208	GroupRepairs6Ability	false									
436	-2147037184	ViralShieldingAbility	false									
437	-2147036160	PanickedHealAbility	false									
438	-2147035136	RenewRSIAbility	false									
439	-2147034112	TraumaSurgeonAbility	false									
440	-2147033088	ExpertRiflemanAbility	false									
441	-2147032064	RifleMasteryAbility	false									
442	-2147031040	SteadyAimAbility	false									
443	-2147030016	NPCAbility	false									
444	-2147028992	NPCBoostUnderlingsAbility	false									
445	-2147027968	None	false									
446	-2147026944	NPCBloodDrinkAbility	false									
447	-2147025920	NPCHealthRegenLowAbility	false									
448	-2147024896	NPCTwinRazor2Ability	false									
449	-2147023872	NPCPounceAbility	false									
450	-2147022848	CripplingShotAbility	false									
451	-2147021824	NPCTwinRazorAbility	false									
452	-2147020800	None	false									
453	-2147019776	RifleButtSmashAbility	false									
454	-2147018752	DeadlyShotAbility	false									
455	-2147017728	None	false									
456	-2147016704	NPCFeralScentAbility	false									
457	-2147015680	NPCHealthRegenMediumAbility	false									
458	-2147014656	NPCHealthRegenHighAbility	false									
459	-2147013632	None	false									
460	-2147012608	NPCImmortalAbility	false									
461	-2147011584	InfectionImmunityAbility	false									
462	-2147010560	EnrageFoesAbility	false									
463	-2147009536	NPCKilledOnlyBySilverAbility	false									
464	-2147008512	NPCKilledOnlyByWoodAbility	false									
465	-2147007488	UILag2Ability	false									
466	-2147006464	PlagueZone2Ability	false									
467	-2147005440	InefficiencyField2Ability	false									
468	-2147004416	DevastationFieldAbility	false									
469	-2147003392	DestroyerAbility	false									
470	-2147002368	RavagerAbility	false									
471	-2147001344	AttackProgrammingAbility	false									
472	-2147000320	CodeInfection3Ability	false									
473	-2146999296	FreezeSystem3Ability	false									
474	-2146998272	CodeInfection4Ability	false									
475	-2146997248	InfectArea2Ability	false									
476	-2146996224	DestroyHealthAbility	false									
477	-2146995200	EfficientCodeAbility	false									
478	-2146994176	CodeFluxAbility	false									
479	-2146993152	FreezeArea2Ability	false									
480	-2146992128	CombatShutdownAbility	false									
481	-2146991104	BufferOverflow2Ability	false									
482	-2146990080	CodeShockAbility	false									
483	-2146989056	NetworkAttackerAbility	false									
484	-2146988032	SupremeDamageResistanceAbility	false									
485	-2146987008	CombatAura2Ability	false									
486	-2146985984	RecallMissionTeamAbility	false									
487	-2146984960	SweepParty2Ability	false									
488	-2146983936	CancelUpgrade2Ability	false									
489	-2146982912	ImprovedHackingAbility	false									
490	-2146981888	ForceMultiplierAbility	false									
491	-2146980864	SubmachineGunSpecialAbility	false									
492	-2146979840	PinningFireAbility	false									
493	-2146978816	DirectFireAbility	false									
494	-2146977792	FullAutoAbility	false									
495	-2146976768	SMGSpecialistAbility	false									
496	-2146975744	FullAutoReduxAbility	false									
497	-2146974720	DuelistAbility	false									
498	-2146973696	HandgunArtistryAbility	false									
499	-2146972672	PistolPointBlankAbility	false									
500	-2146971648	PistolDashAbility	false									
501	-2146970624	PistolWhipAbility	false									
502	-2146969600	PistolExecutionAbility	false									
503	-2146968576	ConcealmentAbility	false									
504	-2146967552	ConcealedShotAbility	false									
505	-2146966528	SniperShotAbility	false									
506	-2146965504	LineUpTheShotAbility	false									
507	-2146964480	EscapeandEvasionAbility	false									
508	-2146963456	SniperAbility	false									
509	-2146962432	NoiseLevelBuffTargetAbility	false									
510	-2146961408	RippleMagBuffTargetAbility	false									
511	-2146960384	PillHealthReplenish5Ability	false									
512	-2146959360	RepairItemsAbility	false									
513	-2146958336	QuickCodingAbility	false									
514	-2146957312	AdvancedTinkeringAbility	false									
515	-2146956288	CodeCrafterAbility	false									
516	-2146955264	AbilityMakerAbility	false									
517	-2146954240	WeaponMakerAbility	false									
518	-2146953216	ToolMakerAbility	false									
519	-2146952192	ForceCombatAbility	false									
520	-2146951168	EvadeInterlockAbility	false									
521	-2146950144	UpgradeMakerAbility	false									
522	-2146949120	MeleeCombatTacticsAbility	false									
523	-2146948096	StealthDamageAbility	false									
524	-2146947072	RangeCombatTacticsAbility	false									
525	-2146946048	InnerstrengthStandRegenRateAbility	false									
526	-2146945024	HealthSitRegenRateAbility	false									
527	-2146944000	HealthStandRegenRateAbility	false									
528	-2146942976	ApparelMakerAbility	false									
529	-2146941952	SignalProtectionAbility	false									
530	-2146940928	CraftingCostDiscountAbility	false									
531	-2146939904	KarateFocusAbility	false									
532	-2146938880	MachinegunKickAbility	false									
533	-2146937856	KarateGrandmasterAbility	false									
534	-2146936832	WristThrowAbility	false									
535	-2146935808	BerserkerAttackAbility	false									
536	-2146934784	KiChargedFootSweepAbility	false									
537	-2146933760	DataMinerAbility	false									
538	-2146932736	DataNodeGogglesAbility	false									
539	-2146931712	DataTapAbility	false									
540	-2146930688	AdvancedDataNodeGogglesAbility	false									
541	-2146929664	AdvancedDataTapAbility	false									
542	-2146928640	None	false									
543	-2146927616	None	false									
544	-2146926592	None	false									
545	-2146925568	CrashStateAbility	false									
546	-2146924544	None	false									
547	-2146923520	HolyWaterAttackAbility	false									
548	-2146922496	TacticBoost1Ability	false									
549	-2146921472	TacticBoost2Ability	false									
550	-2146920448	TacticBoost3Ability	false									
551	-2146919424	TacticBoost4Ability	false									
552	-2146918400	RifleDamageAbility	false									
553	-2146917376	HandGunDamageAbility	false									
554	-2146916352	SubmachineGunDamageAbility	false									
555	-2146915328	HandGunCombatTacticsAbility	false									
556	-2146914304	RifleCombatTacticsAbility	false									
557	-2146913280	SubmachineGunCombatTacticsAbility	false									
558	-2146912256	AimmedShotTacticsAbility	false									
559	-2146911232	BurstTacticsAbility	false									
560	-2146910208	RetaliateTacticsAbility	false									
561	-2146909184	AimmedShotDamageAbility	false									
562	-2146908160	BurstDamageAbility	false									
563	-2146907136	RetaliateDamageAbility	false									
564	-2146906112	ConcentrationAbility	false									
565	-2146905088	NPCKissAbility	false									
566	-2146904064	PreOrderHyperLeapAbility	false									
567	-2146903040	SuperJumpAbility	false									
568	-2146902016	JumpAbility	false									
569	-2146900992	KarateCombatTacticsAbility	false									
570	-2146899968	KungFuCombatTacticsAbility	false									
571	-2146898944	AikidoCombatTacticsAbility	false									
572	-2146897920	AikidoDamageAbility	false									
573	-2146896896	KarateDamageAbility	false									
574	-2146895872	KungFuDamageAbility	false									
575	-2146894848	DeterminationAbility	false									
576	-2146893824	NPCCounterSneakAbility	false									
577	-2146892800	SneakAttackDetectionAbility	false									
578	-2146891776	None	false									
579	-2146890752	None	false									
580	-2146889728	None	false									
581	-2146888704	None	false									
582	-2146887680	None	false									
583	-2146886656	None	false									
584	-2146885632	None	false									
585	-2146884608	RunAdvancedProgramAbility	false									
586	-2146883584	RemoteProxy4Ability	false									
587	-2146882560	RepairSimulacra3Ability	false									
588	-2146881536	Enrage1Ability	false									
589	-2146880512	ProxyTechnicianAbility	false									
590	-2146879488	StaticBlast2Ability	false									
591	-2146878464	StaticBlast3Ability	false									
592	-2146877440	WeaponReqsNotMetEffectAbility	false									
593	-2146876416	TransmitCodeAbility	false									
594	-2146875392	RemoteProxy5Ability	false									
595	-2146874368	StunPulseAbility	false									
596	-2146873344	RepairSimulacra4Ability	false									
597	-2146872320	Enrage2Ability	false									
598	-2146871296	StaticBlast4Ability	false									
599	-2146870272	ProxyMasterAbility	false									
600	-2146869248	CloseCombatTrainingAbility	false									
601	-2146868224	LogicDaemon2Ability	false									
602	-2146867200	PatchDaemon1Ability	false									
603	-2146866176	AcousticDecoy1Ability	false									
604	-2146865152	UtilityCoderAbility	false									
605	-2146864128	LowBlowAbility	false									
606	-2146863104	BlockTacticsAbility	false									
607	-2146862080	AcousticDecoy2Ability	false									
608	-2146861056	CodeHardeningAbility	false									
609	-2146860032	DaemonBoostAbility	false									
610	-2146859008	EngageFoesAbility	false									
611	-2146857984	LogicDaemon3Ability	false									
612	-2146856960	PatchDaemon2Ability	false									
613	-2146855936	UtilityTechnicianAbility	false									
614	-2146854912	EnhanceDaemonAbility	false									
615	-2146853888	FixSimulacraAbility	false									
616	-2146852864	LogicDaemon4Ability	false									
617	-2146851840	PatchDaemon3Ability	false									
618	-2146850816	BashAbility	false									
619	-2146849792	DaemonBoost2Ability	false									
620	-2146848768	UtilityMasterAbility	false									
621	-2146847744	FindDataNodeAbility	false									
622	-2146846720	SiphonDataNodeAbility	false									
623	-2146845696	ConcealedAbility	false									
624	-2146844672	EvasionStateAbility	false									
