280006D5 = fx_character.fxl | fx_character_rooting_attack
58000226 = fx_dialog.fxl | Morpheus_Warns Threatening Player_Morpheus_IfYouHaveLearnedAntyingYoullKnowBetterThanTo
5800023A = fx_dialog.fxl | Oracle_Gives Item_Oracle_TakeThisYoullNeedIt
58000298 = fx_dialog.fxl | Persephone_Being Attacked_Persephone_IfImHurtMyHusbandWillHaveYourBalls
20000004 = fx_environmental.fxl | Sounds_elev_door_close
20000028 = fx_environmental.fxl | Sounds_cardbox_open
8600016D = fx_footsteps.fxl | fx_footsteps_Barefoot_Wood_Right
60000013 = fx_handcombat.fxl | fx_handcombat_Enter_Bullet_Time
86000011 = fx_handcombat.fxl | sounds_Dodge_Swoosh
86000180 = fx_handcombat.fxl | fx_handcombat_robot_Hit_HB
DE000095 = fx_live_events.fxl | event_2_1_fb_boss_birth_fb_boss_birth
2800000E = fx_object.fxl | fx_object_Interface_icon_chat_blink
8600015C = fx_object.fxl | fx_object_Usable_unlock
28000A7B = fx_object.fxl | fx_object_data_node_failed_tap
4A00010F = fx_props.fxl | club_props_spotlights_angled_stationary_6m_yellow
28000A55 = fx_weapon.fxl | fx_weapon_submachinegun1_muzzle_flash_silencer
280005E1 = fx_character.fxl | fx_character_enrage_cast
2800061D = fx_character.fxl | fx_character_pacify
860000F7 = fx_character.fxl | Emotes_extracheer_1_male
28000028 = fx_character.fxl | viruscast_split__buff__end
2800010C = fx_character.fxl | viruscast_split_standoff_standoff_middle
28000154 = fx_character.fxl | viruscast_split_processor_lag_processorlag1
2800080D = fx_character.fxl | viruscast_split_destroyer_destroyer_end
28000A1B = fx_character.fxl | viruscast_split_staticbarrage_staticbarrage2_middle
12463178 = fx_character2.fxl | _old_ref_stuff_buff_1
28000746 = fx_cinematic.fxl | cinematic 2.2_flitgun_spray
5800011B = fx_dialog.fxl | Sati_Misc Lines_Sati_DoYouSenseSomething
5800026B = fx_dialog.fxl | Oracle_Random Quotes_Oracle_HopeForTheBestPrepareForWorst
580002F5 = fx_dialog.fxl | Sati_Greets Enemy_Sati_IfYouHurtMeSeraphWillKnow
860000C4 = fx_environmental.fxl | Sounds_cashregister_open
12463112 = fx_GoldenTickets.fxl | Healing_gift_healing_noinvul
280006E7 = fx_handcombat.fxl | bullet_body_hits_BulletHit_HB
12463148 = fx_npc.fxl | dire_lupines_lup_spawn_in
28000598 = fx_object.fxl | Traps_laserdoor_red1_on
280006C3 = fx_object.fxl | fx_object_sewer_water
2800077D = fx_object.fxl | fx_object_Interface_icon_blink
2800099C = fx_object.fxl | fx_object_Interface_neighborhood_names_center_park
86000095 = fx_RichWorldSnds.fxl | Cars_Sedan_drive
2800053A = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_HF
2800082B = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_LB
28000A56 = fx_weapon.fxl | fx_weapon_submachinegun2_muzzle_flash_silencer
1246315A = fx_ads.fxl | Building_Side_Tex_Geom_Ads_tex_geom_ad_01
860000A5 = fx_character.fxl | Emotes_laugh_female
860000F9 = fx_character.fxl | Emotes_extracheer_2_male
2800018A = fx_character.fxl | viruscast_split_negative_condition_sweep_negconsweep1_middle
280001D8 = fx_character.fxl | viruscast_split_insidious_code_insidiouscode_end
28000801 = fx_character.fxl | viruscast_split_devastation_field_devastationfield_middle
28000857 = fx_character.fxl | viruscast_split_enhancedaemon_enhancedaemon_start
280008CC = fx_character.fxl | fx_character_code_shaper
28000962 = fx_character.fxl | viruscast_split_extreme_healing_extremehealing_end
28000A77 = fx_character.fxl | viruscast_split_balance_balance_start
28000696 = fx_cinematic.fxl | cinematic 1.1_cookie_satihand_bitten
5800015A = fx_dialog.fxl | Niobe_Seeking Assassin_Niobe_YouDidntKillAssassin
580001C7 = fx_dialog.fxl | Merovingian_Greets Ally_Merovingian_It'sAboutTimeYouGotHere
58000211 = fx_dialog.fxl | Morpheus_Gives Message for Oracle_Morpheus_ITrustYouToDeliverThisToOracleIHaveFaith
580002C3 = fx_dialog.fxl | Persephone_Stops Following_Persephone_IllBeRightHere
280004E7 = fx_environmental.fxl | fx_environmental_black_smoke_small
8600000C = fx_handcombat.fxl | sounds_Grapple_Guns
0400002D = fx_npc.fxl | oligarchs_children_skel
0400005D = fx_npc.fxl | oligarchs_spawns_shellruntime
0400008F = fx_npc.fxl | kunoichi_aura_100
28000595 = fx_object.fxl | Traps_laserdoor_red2_on
28000699 = fx_object.fxl | GameObjects_crystal_stake
2800096E = fx_object.fxl | fx_object_data_node_large
124630D8 = fx_Pandoras_Box.fxl | Portal_Copy of portal
28000745 = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_MB
2200000B = test.fxl | Screen Fade
280004A2 = fx_character.fxl | fx_character_image_trail
280006E0 = fx_character.fxl | fx_character_text_heal
280006E4 = fx_character.fxl | fx_character_neural_harmonizer_loop
860000FA = fx_character.fxl | Emotes_extracheer_3_male
28000018 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb1_middle
28000036 = fx_character.fxl | fx_character_buffer_overflow1
2800015B = fx_character.fxl | viruscast_split_plague_zone_plaguezone1_end
280007F8 = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall1_end
2800018F = fx_character.fxl | viruscast_split_negative_condition_sweep_negconsweep2_middle
280007DB = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs1_middle
280008D1 = fx_character.fxl | fx_character_serene_calm
28000A5C = fx_character.fxl | archivist_hand
580000AE = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Greets_Ally
58000156 = fx_dialog.fxl | Niobe_Seeking Assassin_Niobe_TheThingThatKilledIsCalled
580002BC = fx_dialog.fxl | Persephone_Speaks to Old Member_Persephone_OhDontBeInsultedIThinkYouMakeAWonderful
580002EB = fx_dialog.fxl | Sati_Gives Item_Sati_ThisIsForYou
04000090 = fx_dialog.fxl | Sati_GROUPED MESSAGES_Sati_Arrives_and_Greets
DE00003E = fx_live_events.fxl | Test_newassassin_flies_1
0400001D = fx_npc.fxl | seraphw_children_lshoulder
0400005B = fx_npc.fxl | oligarchs_spawns_shellaccelerator
2800028C = fx_object.fxl | fx_object_mission_key
28000561 = fx_object.fxl | GameObjects_streetsign_pointingleft
28000590 = fx_object.fxl | Traps_laserdoor_red3_on
28000006 = fx_object.fxl | GameObjects_active_desktop_computer_alienware
12000018 = fx_Pandoras_Box.fxl | Portal_portal_open
58000029 = fx_sizzle.fxl | E3Siz_K_A_SRSM_KLb_WallKickHF
B000001B = fx_ads.fxl | Hardline_Poster_sprite_ad_01
2800062A = fx_character.fxl | fx_character_multipartite_enrage_cast
28000637 = fx_character.fxl | fx_character_health_replenish
2800000B = fx_character.fxl | hyperleap_land
28000037 = fx_character.fxl | fx_character_buffer_overflow2
280000B2 = fx_character.fxl | viruscast_split_code_shock_codeshock_end
280000BC = fx_character.fxl | viruscast_split_combat_aura_combataura1_start
280000EB = fx_character.fxl | viruscast_split_upgrade_attacks_upgradeattacks_end
28000112 = fx_character.fxl | viruscast_split_slow_slow1
2800015F = fx_character.fxl | viruscast_split_plague_zone_plaguezone2_end
2800016D = fx_character.fxl | viruscast_split_personal_firewall_personalfirewall2_end
280001AE = fx_character.fxl | viruscast_split_logic_bomb_logicbomb2_middle
280007DF = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs2_middle
2800081B = fx_character.fxl | viruscast_split_despoiler_despoiler_start
86000173 = fx_character.fxl | Cast_cast_virus_beep
280008AF = fx_character.fxl | viruscast_split_staticblast_staticblast1_middle
28000A0F = fx_character.fxl | viruscast_split_code_nuke_codenuke2_middle
28000004 = fx_cinematic.fxl | cinematic 2.2_flies_dead_on_ground
580000AD = fx_dialog.fxl | Merovingian_GROUPED MESSAGES_Merovingian_Thanks_For_Assistance
580002F3 = fx_dialog.fxl | Sati_Greets Enemy_Sati_WhatAreYouDoingHere
58000316 = fx_dialog.fxl | Seraph_Gives Item_Seraph_IMustGiveThisToYou
58000343 = fx_dialog.fxl | Niobe_Gives Message_Niobe_ThisMessageMustGetThroughDontLetMeDown
860001CD = fx_dialog.fxl | AAAmeatball
2200064E = fx_environmental.fxl | Trash_Rigid Trash 1_1
86000183 = fx_handcombat.fxl | fx_handcombat_robot_Hit_LB
8600018A = fx_handcombat.fxl | fx_handcombat_robot_Hit_HF
0400008C = fx_npc.fxl | kunoichi_spawn_gray
28000686 = fx_object.fxl | Traps_shock_trap_dangerous
280009AE = fx_object.fxl | fx_object_Interface_neighborhood_names_kedemoth
860001B5 = fx_sound_ambient.fxl | World Int_Dungeon Subway 0
28000038 = fx_character.fxl | fx_character_buffer_overflow3
280000C1 = fx_character.fxl | viruscast_split_combat_aura_combataura2_start
28000117 = fx_character.fxl | viruscast_split_revive_rsi_revive_rsi
280001B2 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb3_middle
280007E3 = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs3_middle
28000805 = fx_character.fxl | viruscast_split_delete_upgrade_deleteupgrade1_end
86000175 = fx_character.fxl | Cast_cast_heal_beep
280008B3 = fx_character.fxl | viruscast_split_staticblast_staticblast2_middle
28000A13 = fx_character.fxl | viruscast_split_code_nuke_codenuke3_middle
58000282 = fx_dialog.fxl | Persephone_Takes Item_Persephone_IveBeenWaitingForThis
2200064F = fx_environmental.fxl | Trash_Rigid Trash 2_1
8600019B = fx_footsteps.fxl | fx_footsteps_Robot_fix
124630CB = fx_GoldenTickets.fxl | Healing_gift_healing_plus_horiz
280006EA = fx_handcombat.fxl | bullet_body_hits_BulletHit_HF
86000187 = fx_handcombat.fxl | fx_handcombat_robot_Hit_MB
860001C9 = fx_sound_ambient.fxl | World Int_Dungeon Museum 0
2800053D = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_LF
28000A70 = test.fxl | Temp_balance_righthand
280006A6 = fx_character.fxl | fx_character_overclock_loop
280006E5 = fx_character.fxl | fx_character_emergency_repair
28000713 = fx_character.fxl | combat_rev9_components_energy_throw_lefthand_flare
2800071B = fx_character.fxl | combat_rev9_precise_power_loop
280000E3 = fx_character.fxl | viruscast_split_upgrade_master_upgrademaster_end
280001B5 = fx_character.fxl | viruscast_split_logic_bomb_logicbomb4_middle
280007E7 = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs4_middle
2800080A = fx_character.fxl | viruscast_split_delete_upgrade_deleteupgrade2_end
86000174 = fx_character.fxl | Cast_cast_code_beep
280008B7 = fx_character.fxl | viruscast_split_staticblast_staticblast3_middle
2800094B = fx_character.fxl | viruscast_split_physician_physician_start
280008D4 = fx_cinematic.fxl | cinematic 1.3_bullet_hit
5800008D = fx_dialog.fxl | Seraph_Misc Lines_Seraph_No
5800013E = fx_dialog.fxl | Niobe_Misc Lines_Niobe_Thanks
58000183 = fx_dialog.fxl | Persephone_Misc Lines_Persephone_WhatGivesHimRightTo
58000273 = fx_dialog.fxl | Oracle_Random Quotes_Oracle_CallItFaithCallItStupidityOrMaybe
58000274 = fx_dialog.fxl | Oracle_Random Quotes_Oracle_ExilesWantToLiveAsMuchAsYouDo
58000291 = fx_dialog.fxl | Persephone_Arrives at Spot_Persephone_IWillBeFineHereThankYou
58000295 = fx_dialog.fxl | Persephone_Asks for Kiss_Persephone_MakeMeBelieveTheseAreRealLipsNotCode
580002F0 = fx_dialog.fxl | Sati_Greets Ally_Sati_HelloThere
58000304 = fx_dialog.fxl | Seraph_Gives Item_Seraph_TakeThisPlease
5800030A = fx_dialog.fxl | Seraph_Arrives at Spot_Seraph_AllIsInItsProperPlaceNow
2000002A = fx_environmental.fxl | Sounds_drawer_close
8600000B = fx_handcombat.fxl | sounds_Skid
280006F0 = fx_handcombat.fxl | bullet_body_hits_BulletHit_MB
040000B7 = fx_live_events.fxl | valk_andvar_cast
12DEC750 = fx_Pandoras_Box.fxl | Portal_portal_ending
28000A60 = fx_props.fxl | props_relic_neo
22000026 = fx_sound_ambient.fxl | Weather_Rain Med Spawner
28000540 = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_MF
8600011E = fx_weapon.fxl | fx_weapon_revolver1_shell_eject
280005F9 = fx_character.fxl | fx_character_karate_simulacra_cast
28000638 = fx_character.fxl | fx_character_multipartite_health_replenish
8600009B = fx_character.fxl | Emotes_blowkiss_blow_male
28000065 = fx_character.fxl | viruscast_split_gaussian_blur_gaussianblur1_middle
280000AB = fx_character.fxl | viruscast_split_code_rot_coderot1_middle
28000136 = fx_character.fxl | viruscast_split_resist_combat_resistcombat1_middle
280001DD = fx_character.fxl | viruscast_split_inefficiency_field_inefficiencyfield1_middle
280007EB = fx_character.fxl | viruscast_split_disrupt_inputs_disruptinputs5_middle
2800081E = fx_character.fxl | viruscast_split_deflect_virus_deflectvirus1_middle
2800085E = fx_character.fxl | viruscast_split_fortifysimulacra_fortifysimulacra_end
280008BB = fx_character.fxl | viruscast_split_staticblast_staticblast4_middle
2800095B = fx_character.fxl | viruscast_split_quickcode_quickcode_middle
28000A25 = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi1_start
28000A35 = fx_character.fxl | viruscast_split_restore_group_restore_group1_start
12463167 = fx_character.fxl | combat_rev9_components_precise_power_rightleg
28000694 = fx_cinematic.fxl | cinematic 1.1_cookie_oraclehand_bitten
580000B8 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_ISee
58000146 = fx_dialog.fxl | Niobe_Cell Phone_Niobe_ThisIsDangerousJob
580001FC = fx_dialog.fxl | Morpheus_Gives Item_Morpheus_ThisIsForYou
5800031E = fx_dialog.fxl | Seraph_Greets Enemy_Seraph_AManCannotBeTooCarefulInTheChoiceOfHisEnemies
58000369 = fx_dialog.fxl | AgentGray_Graduation_AchievedRep127
DE000062 = fx_live_events.fxl | event_2_1_bomb_defuse_children_decending_ring
DE00006B = fx_live_events.fxl | event_2_1_bomb_code_residual
DE0000A5 = fx_live_events.fxl | event_2_1_fb_boss_aoe
1246313B = fx_live_events_2.fxl | live_event_2_3_altered_corrupted_c_v4_body
0400001C = fx_npc.fxl | seraphw_children_eyes
280009A5 = fx_object.fxl | fx_object_Interface_neighborhood_names_furihata
2800053B = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_HL
8600011F = fx_weapon.fxl | fx_weapon_revolver2_shell_eject
280006DF = fx_character.fxl | fx_character_text_damage
28000728 = fx_character.fxl | combat_rev9_powershot_attacker_loop
860000FE = fx_character.fxl | Emotes_cheer_1_female
28000068 = fx_character.fxl | viruscast_split_gaussian_blur_gaussianblur2_middle
280000A5 = fx_character.fxl | viruscast_split__damage__targetbase
280000B8 = fx_character.fxl | viruscast_split_code_stop_codestop1_start
280000DB = fx_character.fxl | viruscast_split_viral_shielding_viralshielding_end
280001E1 = fx_character.fxl | viruscast_split_inefficiency_field_inefficiencyfield2_middle
2800084C = fx_character.fxl | viruscast_split_decoys_decoys1
28000A29 = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi2_start
28000A39 = fx_character.fxl | viruscast_split_restore_group_restore_group2_start
1246316E = fx_character.fxl | combat_rev9_components_powershot_leftleg
B0000044 = fx_character.fxl | fx_character_absorb_simulacra_cast
5800017F = fx_dialog.fxl | Persephone_Misc Lines_Persephone_WaitTillITellMother
580001C6 = fx_dialog.fxl | Merovingian_Greets Ally_Merovingian_IAmPleasedToSeeYou
580001F4 = fx_dialog.fxl | Morpheus_Thanks for Assistance_Morpheus_YourAssistanceIsMuchAppreciated
58000207 = fx_dialog.fxl | Morpheus_Confronts Following Machine Player_Morpheus_IfYouAreWorkingForTheMachinesYourMindWasNever
5800029A = fx_dialog.fxl | Persephone_Flirts_Persephone_ICanBeAVeryGoodPatron
28000443 = fx_environmental.fxl | fx_environmental_electricity_small
86000184 = fx_handcombat.fxl | fx_handcombat_robot_Hit_LF
DE000057 = fx_live_events.fxl | Test_eyes
0400005C = fx_npc.fxl | oligarchs_spawns_shelldecelerator
280009AC = fx_object.fxl | fx_object_Interface_neighborhood_names_jurong
860000D3 = fx_props.fxl | props_sounds_coffee_maker
4A000110 = fx_props.fxl | club_props_spotlights_vertical_stationary_stationary_vertical_green
280006CF = fx_character.fxl | fx_character_recall_mission_team_cast
280006FC = fx_character.fxl | combat_rev9_components_energy_power_righthand
86000100 = fx_character.fxl | Emotes_cheer_2_female
28000030 = fx_character.fxl | viruscast_split_bolster_health_bolsterhealth1_middle
2800006B = fx_character.fxl | viruscast_split_gaussian_blur_gaussianblur3_middle
280009EB = fx_character.fxl | fx_character_root
28000A2D = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi3_start
28000A3D = fx_character.fxl | viruscast_split_restore_group_restore_group3_start
58000047 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_Please
58000136 = fx_dialog.fxl | Niobe_GROUPED MESSAGES_Niobe_Being_Attacked
580001A4 = fx_dialog.fxl | Merovingian_Takes Item from Persephone_Merovingian_WhatIsThisSomethingFromMyWife
5800027F = fx_dialog.fxl | Persephone_Warns Threatening Player_Persephone_IMayBeMarriedToDevilHimselfButIPromiseYou
58000294 = fx_dialog.fxl | Persephone_Asks for Kiss_Persephone_KissMeAsIfIWasYourTrueLove
580002D7 = fx_dialog.fxl | Sati_Follows_Sati_OkayIllFollowYou
58000351 = fx_dialog.fxl | Niobe_Intro and Recruiting_Niobe_IHaveAFewPeopleOfMyOwnNow
28000186 = fx_environmental.fxl | fx_environmental_steam_medium
280006ED = fx_handcombat.fxl | bullet_body_hits_BulletHit_LF
8600018B = fx_handcombat.fxl | fx_handcombat_robot_Hit_MF
DE00009B = fx_live_events.fxl | Test_archivist_hand_1
0400001E = fx_npc.fxl | seraphw_children_rshoulder
2800077B = fx_object.fxl | fx_object_Interface_combat_icon_breakright
28000032 = test.fxl | Test FX_steam_medium
28000708 = fx_character.fxl | combat_rev9_components_energy_speed_rightfoot
2800078F = fx_character.fxl | fx_character_slow
2800001F = fx_character.fxl | viruscast_split__debuff__end
28000073 = fx_character.fxl | viruscast_split_bolster_health_bolsterhealth2_middle
28000A31 = fx_character.fxl | viruscast_split_repair_rsi_repair_rsi4_start
1246317A = fx_character2.fxl | _old_ref_stuff_debuff_1
58000093 = fx_dialog.fxl | Seraph_Misc Lines_Seraph_YoureWrong
58000139 = fx_dialog.fxl | Niobe_Misc Lines_Niobe_YoureWrongAboutThat
58000193 = fx_dialog.fxl | Persephone_Cell Phone_Persephone_GotoAddressISent
580002B1 = fx_dialog.fxl | Persephone_Satisfied with Kiss_Persephone_OhMyYesThatWillDo
580002DE = fx_dialog.fxl | Sati_Being Attacked_Sati_Stop
580002F4 = fx_dialog.fxl | Sati_Greets Enemy_Sati_AreYouHereToDoSomethingBad
280006F1 = fx_handcombat.fxl | bullet_body_hits_BulletHit_MF
86000181 = fx_handcombat.fxl | fx_handcombat_robot_Hit_HL
DE000060 = fx_live_events.fxl | event_2_1_bomb_defuse_defuse_bomb
2800057C = fx_object.fxl | GameObjects_desk_large_1
28000971 = fx_object.fxl | fx_object_data_node_motherlode
280009C3 = fx_object.fxl | fx_object_Interface_neighborhood_names_stamos
B000000C = fx_winter.fxl | Snowball
9C00000A = test.fxl | Untitled FX 1
280005DF = fx_character.fxl | fx_character_pacify_cast
86000014 = fx_character.fxl | Orangutan
860000F5 = fx_character.fxl | Emotes_inhaler
28000076 = fx_character.fxl | viruscast_split_bolster_health_bolsterhealth3_middle
2800013D = fx_character.fxl | viruscast_split_rejuvenate_rsi_rejuvenate_rsi_end
280001E5 = fx_character.fxl | viruscast_split_infect_area_infectarea1_middle
28000822 = fx_character.fxl | viruscast_split_deflect_bullets_deflectbullets1_middle
2800098C = fx_character.fxl | viruscast_split_deflect_virus_deflectvirus_component1
280009D4 = fx_character.fxl | viruscast_split_find_weakness_find_weakness
28000A09 = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage2_start
B0000042 = fx_character.fxl | viruscast_split_combat_training_combattraining1_middle
5800002D = fx_dialog.fxl | Misc_First_Time_Welcome
58000038 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_LookingGood
58000039 = fx_dialog.fxl | Oracle_Misc Lines_Oracle_IThinkYouUnderstand
58000004 = fx_dialog.fxl | Seraph_GROUPED MESSAGES_Seraph_Greets_Ally
580000B9 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_YouDontUnderstand
5800017D = fx_dialog.fxl | Persephone_Misc Lines_Persephone_SpendPartOfTimeWithHusband
5800024A = fx_dialog.fxl | Oracle_Offers Cookie_Oracle_HowAboutACookie
5800027B = fx_dialog.fxl | Oracle_Random Quotes_Oracle_IfAManIsBraveOrOnlyActingBrave
580002D3 = fx_dialog.fxl | Sati_Stops Following_Sati_YouWontLeaveMeBehindWillYou
5800030D = fx_dialog.fxl | Seraph_Being Attacked_Seraph_IfYouDontStopIWillRetaliate
5800034C = fx_dialog.fxl | Niobe_Intro and Recruiting_Niobe_ImACaptainInTheZionMilitary
5800035C = fx_dialog.fxl | Niobe_Stops Following_Niobe_OkayButDontWaitTooLong
86000152 = fx_footsteps.fxl | fx_footsteps_Bodyfalls_concrete
28000521 = fx_handcombat.fxl | fx_handcombat_Hit_HF_power
280006EB = fx_handcombat.fxl | bullet_body_hits_BulletHit_HL
2800074A = fx_handcombat.fxl | fx_handcombat_Hit_LB_power
28000432 = fx_interlock.fxl | fx_interlock_Impacts_impact_falling
2800057D = fx_object.fxl | GameObjects_desk_large_2
280006B9 = fx_object.fxl | fx_object_waterdrip_380height_fast
28000777 = fx_object.fxl | fx_object_Interface_combat_icon_break
124630D9 = fx_Pandoras_Box.fxl | Portal_portal_loop
2800049C = fx_props.fxl | props_manhole_steam_small
4A00002F = fx_props.fxl | searchlight_searchlight_stationary
2800053E = fx_weapon.fxl | fx_weapon_bullet_impacts_Shot_LL
280004A9 = fx_character.fxl | invisiblity_others_ramp_down
860000FB = fx_character.fxl | Emotes_extracheer_1_female
8600015D = fx_character.fxl | Cast_cast_beep
2800008A = fx_character.fxl | viruscast_split_area_disruption_area_disruption1
280000A4 = fx_character.fxl | viruscast_split__buff__targetbase
280000C7 = fx_character.fxl | viruscast_split_combat_hacking_combathacking_middle
280000CD = fx_character.fxl | viruscast_split_combat_shutdown_combatshutdown
280001E9 = fx_character.fxl | viruscast_split_infect_area_infectarea2_middle
2800088A = fx_character.fxl | viruscast_split_remoteproxy_remoteproxy1_end
280008C8 = fx_character.fxl | viruscast_split_tinkering_tinkering_start
2800092F = fx_character.fxl | viruscast_split_group_repairs_grouprepairs1_start
2800098D = fx_character.fxl | viruscast_split_deflect_virus_deflectvirus_component2
28000A0B = fx_character.fxl | viruscast_split_logic_barrage_logicbarrage3_start
040000AF = fx_character.fxl | blueshift_cast
4A00000E = fx_cinematic.fxl | cinematic 1.2_impact_wave_crack
