LITTLE      BIG             SYMBOLICNAME
25060028 28000625 = FX_CHARACTER_MULTIPARTITE_MOVEMENT_DISRUPTION
26060028 28000626 = FX_CHARACTER_MULTIPARTITE_STUN_CAST
27060028 28000627 = FX_CHARACTER_MULTIPARTITE_STUN
28060028 28000628 = FX_CHARACTER_MULTIPARTITE_CONFUSE_CAST
29060028 28000629 = FX_CHARACTER_MULTIPARTITE_CONFUSE
2a060028 2800062a = FX_CHARACTER_MULTIPARTITE_ENRAGE_CAST
2b060028 2800062b = FX_CHARACTER_MULTIPARTITE_ENRAGE
2c060028 2800062c = FX_CHARACTER_CORRUPTION
2d060028 2800062d = FX_CHARACTER_MULTIPARTITE_CORRUPTION
2e060028 2800062e = FX_CHARACTER_BUFFER_OVERFLOW
2f060028 2800062f = FX_CHARACTER_DELETE_ABILITY
30060028 28000630 = FX_CHARACTER_ANTIVIRAL_SWEEP
31060028 28000631 = FX_CHARACTER_OVERCLOCK
32060028 28000632 = FX_CHARACTER_SHADOW_OBJECT
33060028 28000633 = FX_CHARACTER_UPGRADE
35060028 28000635 = FX_CHARACTER_REDIRECT_VIRUS
36060028 28000636 = FX_CHARACTER_SIGNAL_BOUNCE
37060028 28000637 = FX_CHARACTER_HEALTH_REPLENISH
38060028 28000638 = FX_CHARACTER_MULTIPARTITE_HEALTH_REPLENISH
39060028 28000639 = FX_CHARACTER_HEALTH_BOOST
3a060028 2800063a = FX_CHARACTER_MULTIPARTITE_HEALTH_BOOST
3c060028 2800063c = FX_CHARACTER_HEALTH_REGENERATION
3d060028 2800063d = FX_CHARACTER_MULTIPARTITE_HEALTH_REGENERATION
3e060028 2800063e = FX_CHARACTER_KARATE_SIMULACRA
3f060028 2800063f = FX_CHARACTER_KUNGFU_SIMULACRA
40060028 28000640 = FX_CHARACTER_AIKIDO_SIMULACRA
41060028 28000641 = FX_CHARACTER_PISTOL_SIMULACRA
42060028 28000642 = FX_CHARACTER_SMG_SIMULACRA
43060028 28000643 = FX_CHARACTER_RIFLE_SIMULACRA
44060028 28000644 = FX_CHARACTER_GAUSSIAN_BLUR
4a060028 2800064a = FX_CHARACTER_VISUAL_DECOYS_CAST
4b060028 2800064b = FX_CHARACTER_VISUAL_DECOYS
4c060028 2800064c = FX_CHARACTER_MESSAGE_CLOUD_START
4d060028 2800064d = FX_CHARACTER_MESSAGE_CLOUD_CAST
4e060028 2800064e = FX_CHARACTER_PACKET_SNIFFER_CAST
4f060028 2800064f = FX_CHARACTER_PACKET_SNIFFER
50060028 28000650 = FX_CHARACTER_REMOTE_OPERATION_CAST
51060028 28000651 = FX_CHARACTER_REMOTE_OPERATION
52060028 28000652 = FX_CHARACTER_ACOUSTIC_DECOYS_CAST
53060028 28000653 = FX_CHARACTER_ACOUSTIC_DECOYS
56060028 28000656 = FX_CHARACTER_HYPERSPEED
0300007a 7a000003 = FX_CHARACTER_SIXTH_SENSE_CAST
0400007a 7a000004 = FX_CHARACTER_SIXTH_SENSE_TARGET
67060028 28000667 = FX_HYPERJUMP_LAND
24000086 86000024 = FX_HYPERJUMP_LOOP
a5060028 280006a5 = FX_CHARACTER_ENRAGE_LOOP
a6060028 280006a6 = FX_CHARACTER_OVERCLOCK_LOOP
a7060028 280006a7 = FX_CHARACTER_CONFUSE_LOOP
a8060028 280006a8 = FX_CHARACTER_SLEEP_LOOP
a9060028 280006a9 = FX_CHARACTER_STUN_LOOP
aa060028 280006aa = FX_CHARACTER_BLIND_LOOP
ab060028 280006ab = FX_CHARACTER_BLEEDING_LOOP
ac060028 280006ac = FX_CHARACTER_POWERLESS_LOOP
ae060028 280006ae = FX_NPC_REGEN
af060028 280006af = FX_CHARACTER_RESTORE_RSI
b0060028 280006b0 = FX_CHARACTER_SYNAPTIC_SWEEP_KICK
b1060028 280006b1 = FX_CHARACTER_SYNAPTIC_CIRCLE_KICK
b2060028 280006b2 = FX_CHARACTER_EXTENDED_SYNAPTIC_KICK
b3060028 280006b3 = FX_CHARACTER_SYNAPTIC_KI_BURST
b4060028 280006b4 = FX_CHARACTER_HAMSTRING
b5060028 280006b5 = FX_CHARACTER_SLOWING_ATTACK
b6060028 280006b6 = FX_CHARACTER_IMPEDING_ATTACK
b7060028 280006b7 = FX_CHARACTER_HINDERING_ATTACK
c8060028 280006c8 = FX_GOGGLE_DATA_MINING
c9060028 280006c9 = FX_GOGGLE_DATA_MINING_COMPONENT
cf060028 280006cf = FX_CHARACTER_RECALL_MISSION_TEAM_CAST
d0060028 280006d0 = FX_CHARACTER_RECALL_TEAM_MEMBER_CAST
d1060028 280006d1 = FX_CHARACTER_RECALL_TEAM_MEMBER_PHASE_OUT
d2060028 280006d2 = FX_CHARACTER_RECALL_MISSION_TEAM_PHASE_OUT
d3060028 280006d3 = FX_CHARACTER_RECALL_MISSION_TEAM_PHASE_IN
d4060028 280006d4 = FX_CHARACTER_RECALL_TEAM_MEMBER_PHASE_IN
d5060028 280006d5 = FX_CHARACTER_ROOTING_ATTACK
de060028 280006de = FX_CHARACTER_HYPERSPRINT
df060028 280006df = FX_CHARACTER_TEXT_DAMAGE
e0060028 280006e0 = FX_CHARACTER_TEXT_HEAL
e1060028 280006e1 = FX_CHARACTER_VITAL_POINTS_LOOP
e2060028 280006e2 = FX_CHARACTER_ILLUMINATE_LOOP
e3060028 280006e3 = FX_CHARACTER_SYSTEM_CHECK_LOOP
e4060028 280006e4 = FX_CHARACTER_NEURAL_HARMONIZER_LOOP
e5060028 280006e5 = FX_CHARACTER_EMERGENCY_REPAIR
f8060028 280006f8 = FX_CHARACTER_SYNAPTIC_SWEEP_KICK_TARGET
f9060028 280006f9 = FX_CHARACTER_SYNAPTIC_CIRCLE_KICK_TARGET
fa060028 280006fa = FX_CHARACTER_SYNAPTIC_KI_BURST_TARGET
fb060028 280006fb = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_LEFTHAND
fc060028 280006fc = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_RIGHTHAND
fd060028 280006fd = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_LEFTFOOT
fe060028 280006fe = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_RIGHTFOOT
ff060028 280006ff = FX_COMBAT_REV9_ENERGIZED_POWER_LOOP
00070028 28000700 = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_LEFTHAND_FLARE
01070028 28000701 = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_LEFTFOOT_FLARE
02070028 28000702 = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_RIGHTFOOT_FLARE
03070028 28000703 = FX_COMBAT_REV9_COMPONENTS_ENERGY_POWER_RIGHTHAND_FLARE
04070028 28000704 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_LEFTFOOT
05070028 28000705 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_LEFTFOOT_FLARE
06070028 28000706 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_LEFTHAND
07070028 28000707 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_LEFTHAND_FLARE
08070028 28000708 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_RIGHTFOOT
09070028 28000709 = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_RIGHTFOOT_FLARE
0a070028 2800070a = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_RIGHTHAND
0b070028 2800070b = FX_COMBAT_REV9_COMPONENTS_ENERGY_SPEED_RIGHTHAND_FLARE
0c070028 2800070c = FX_COMBAT_REV9_ENERGIZED_SPEED_LOOP
0d070028 2800070d = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_LEFTFOOT
0f070028 2800070f = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_LEFTHAND
10070028 28000710 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_RIGHTFOOT
11070028 28000711 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_RIGHTHAND
12070028 28000712 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_LEFTFOOT_FLARE
13070028 28000713 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_LEFTHAND_FLARE
14070028 28000714 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_RIGHTFOOT_FLARE
15070028 28000715 = FX_COMBAT_REV9_COMPONENTS_ENERGY_THROW_RIGHTHAND_FLARE
16070028 28000716 = FX_COMBAT_REV9_ENERGIZED_THROW_LOOP
17070028 28000717 = FX_COMBAT_REV9_COMPONENTS_PRECISE_POWER_LEFTFOOT
18070028 28000718 = FX_COMBAT_REV9_COMPONENTS_PRECISE_POWER_LEFTHAND
19070028 28000719 = FX_COMBAT_REV9_COMPONENTS_PRECISE_POWER_RIGHTFOOT
1a070028 2800071a = FX_COMBAT_REV9_COMPONENTS_PRECISE_POWER_RIGHTHAND
1b070028 2800071b = FX_COMBAT_REV9_PRECISE_POWER_LOOP
1c070028 2800071c = FX_COMBAT_REV9_COMPONENTS_PRECISE_SPEED_LEFTFOOT
1d070028 2800071d = FX_COMBAT_REV9_COMPONENTS_PRECISE_SPEED_LEFTHAND
1e070028 2800071e = FX_COMBAT_REV9_COMPONENTS_PRECISE_SPEED_RIGHTFOOT
1f070028 2800071f = FX_COMBAT_REV9_COMPONENTS_PRECISE_SPEED_RIGHTHAND
20070028 28000720 = FX_COMBAT_REV9_PRECISE_SPEED_LOOP
21070028 28000721 = FX_COMBAT_REV9_COMPONENTS_PRECISE_THROW_LEFTFOOT
22070028 28000722 = FX_COMBAT_REV9_COMPONENTS_PRECISE_THROW_LEFTHAND
23070028 28000723 = FX_COMBAT_REV9_COMPONENTS_PRECISE_THROW_RIGHTFOOT
24070028 28000724 = FX_COMBAT_REV9_COMPONENTS_PRECISE_THROW_RIGHTHAND
25070028 28000725 = FX_COMBAT_REV9_PRECISE_THROW_LOOP
26070028 28000726 = FX_COMBAT_REV9_POWERSHOT_TARGET
27070028 28000727 = FX_COMBAT_REV9_COMPONENTS_POWERSHOT_LEFTARM
29070028 28000729 = FX_COMBAT_REV9_COMPONENTS_POWERSHOT_RIGHTARM
2a070028 2800072a = FX_COMBAT_REV9_COMPONENTS_POWERSHOT_LEFTHAND
2b070028 2800072b = FX_COMBAT_REV9_COMPONENTS_POWERSHOT_RIGHTHAND
37070028 28000737 = FX_AGENT_EYEGLOW_AGENT_EYEGLOW
66070028 28000766 = FX_CHARACTER_INNERSTRENGTH_GAIN
68070028 28000768 = FX_CHARACTER_DAZED_LOOP
69070028 28000769 = FX_CHARACTER_STAGGERED_LOOP
6a070028 2800076a = FX_CHARACTER_OFFBALANCE_LOOP
78070028 28000778 = FX_CHARACTER_FFCC
85070028 28000785 = FX_CHAT_NORMAL
86070028 28000786 = FX_CHAT_SHOUT
87070028 28000787 = FX_CHAT_DIRECTED
88070028 28000788 = FX_CHAT_DIRECTED_COMPONENT
8c070028 2800078c = FX_CHARACTER_NEURODART
8e070028 2800078e = FX_CHARACTER_SLOW_CAST
8f070028 2800078f = FX_CHARACTER_SLOW
4f010086 8600014f = FX_CHARACTER_INVISIBLILITY_ON
50010086 86000150 = FX_CHARACTER_INVISIBLILITY_OFF
94070028 28000794 = FX_CHARACTER_BLOCK_INTERLOCK
95070028 28000795 = FX_CHARACTER_FIND_WEAKNESS
03000028 28000003 = FX_SIGNPOST_NPC
0b000028 2800000b = FX_HYPERLEAP_LAND
14000028 28000014 = FX_ACCESS_NODE_1
16000028 28000016 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB1_START
17000028 28000017 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB1_END
18000028 28000018 = FX_VIRUSCAST_SPLIT_LOGIC_BOMB_LOGICBOMB1_MIDDLE
1a000028 2800001a = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION1_END
1b000028 2800001b = FX_VIRUSCAST_SPLIT_AREA_DISRUPTION_AREA_DISRUPTION1_START
1c000028 2800001c = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH1_START
1d000028 2800001d = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH1_END
1e000028 2800001e = FX_VIRUSCAST_SPLIT_RESTORE_HEALTH_RESTORE_HEALTH1_MIDDLE
1f000028 2800001f = FX_VIRUSCAST_SPLIT__DEBUFF__END
20000028 28000020 = FX_VIRUSCAST_SPLIT__DEBUFF__MIDDLE
21000028 28000021 = FX_VIRUSCAST_SPLIT__DEBUFF__START
22000028 28000022 = FX_VIRUSCAST_SPLIT__DAMAGE__END
23000028 28000023 = FX_VIRUSCAST_SPLIT__DAMAGE__MIDDLE
24000028 28000024 = FX_VIRUSCAST_SPLIT__DAMAGE__START
25000028 28000025 = FX_VIRUSCAST_SPLIT__HEALTH__END
26000028 28000026 = FX_VIRUSCAST_SPLIT__HEALTH__MIDDLE
27000028 28000027 = FX_VIRUSCAST_SPLIT__HEALTH__START
28000028 28000028 = FX_VIRUSCAST_SPLIT__BUFF__END
29000028 28000029 = FX_VIRUSCAST_SPLIT__BUFF__START
2a000028 2800002a = FX_VIRUSCAST_SPLIT__UTILITY__MIDDLE
2b000028 2800002b = FX_VIRUSCAST_SPLIT__UTILITY__START
2c000028 2800002c = FX_VIRUSCAST_SPLIT__UTILITY__END
2e000028 2800002e = FX_CHARACTER_AREA_DISRUPTION
2f000028 2800002f = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH1_END
30000028 28000030 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH1_MIDDLE
31000028 28000031 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH1_START
f0070028 280007f0 = FX_CHARACTER_BOLSTER_HEALTH
33000028 28000033 = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW1_END
34000028 28000034 = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW1_MIDDLE
35000028 28000035 = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW1_START
36000028 28000036 = FX_CHARACTER_BUFFER_OVERFLOW1
37000028 28000037 = FX_CHARACTER_BUFFER_OVERFLOW2
38000028 28000038 = FX_CHARACTER_BUFFER_OVERFLOW3
39000028 28000039 = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW2_END
3a000028 2800003a = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW2_MIDDLE
3b000028 2800003b = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW2_START
3c000028 2800003c = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW3_END
3d000028 2800003d = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW3_MIDDLE
3e000028 2800003e = FX_VIRUSCAST_SPLIT_BUFFER_OVERFLOW_BUFFEROVERFLOW3_START
3f000028 2800003f = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE1_END
40000028 28000040 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE1_MIDDLE
f1070028 280007f1 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE1_START
f2070028 280007f2 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE2_END
43000028 28000043 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE2_MIDDLE
44000028 28000044 = FX_VIRUSCAST_SPLIT_CODE_FREEZE_CODEFREEZE2_START
45000028 28000045 = FX_VIRUSCAST_SPLIT_ACOUSTIC_DECOYS_ACOUSTICDECOY1_END
46000028 28000046 = FX_VIRUSCAST_SPLIT_ACOUSTIC_DECOYS_ACOUSTICDECOY1_MIDDLE
47000028 28000047 = FX_VIRUSCAST_SPLIT_ACOUSTIC_DECOYS_ACOUSTICDECOY1_START
48000028 28000048 = FX_VIRUSCAST_SPLIT_AIKIDO_SIMULACRA_AIKIDO_SIMULACRA_END
49000028 28000049 = FX_VIRUSCAST_SPLIT_AIKIDO_SIMULACRA_AIKIDO_SIMULACRA_MIDDLE
4a000028 2800004a = FX_VIRUSCAST_SPLIT_AIKIDO_SIMULACRA_AIKIDO_SIMULACRA_START
4f000028 2800004f = FX_VIRUSCAST_SPLIT_CONFUSE_CONFUSE_END
50000028 28000050 = FX_VIRUSCAST_SPLIT_CONFUSE_CONFUSE_MIDDLE
51000028 28000051 = FX_VIRUSCAST_SPLIT_CONFUSE_CONFUSE_START
52000028 28000052 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE1_END
53000028 28000053 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE1_MIDDLE
54000028 28000054 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE1_START
55000028 28000055 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE2_END
56000028 28000056 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE2_MIDDLE
57000028 28000057 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE2_START
58000028 28000058 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE3_END
59000028 28000059 = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE3_MIDDLE
5a000028 2800005a = FX_VIRUSCAST_SPLIT_ENRAGE_ENRAGE3_START
5b000028 2800005b = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL1_END
5c000028 2800005c = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL1_MIDDLE
5d000028 2800005d = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL1_START
5e000028 2800005e = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL2_END
5f000028 2800005f = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL2_MIDDLE
60000028 28000060 = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL2_START
61000028 28000061 = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL3_END
62000028 28000062 = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL3_MIDDLE
63000028 28000063 = FX_VIRUSCAST_SPLIT_FIREWALL_FIREWALL3_START
64000028 28000064 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR1_END
65000028 28000065 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR1_MIDDLE
66000028 28000066 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR1_START
67000028 28000067 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR2_END
68000028 28000068 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR2_MIDDLE
69000028 28000069 = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR2_START
6a000028 2800006a = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR3_END
6b000028 2800006b = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR3_MIDDLE
6c000028 2800006c = FX_VIRUSCAST_SPLIT_GAUSSIAN_BLUR_GAUSSIANBLUR3_START
6d000028 2800006d = FX_CHARACTER_GAUSSIAN_BLUR2
6e000028 2800006e = FX_CHARACTER_GAUSSIAN_BLUR3
6f000028 2800006f = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTER_HEALTH1
70000028 28000070 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTER_HEALTH2
71000028 28000071 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTER_HEALTH3
72000028 28000072 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH2_END
73000028 28000073 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH2_MIDDLE
74000028 28000074 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH2_START
75000028 28000075 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH3_END
76000028 28000076 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH3_MIDDLE
77000028 28000077 = FX_VIRUSCAST_SPLIT_BOLSTER_HEALTH_BOLSTERHEALTH3_START
78000028 28000078 = FX_VIRUSCAST_SPLIT_BOTTLENECK_FIELD_BOTTLENECKFIELD_END
79000028 28000079 = FX_VIRUSCAST_SPLIT_BOTTLENECK_FIELD_BOTTLENECKFIELD_MIDDLE
7a000028 2800007a = FX_VIRUSCAST_SPLIT_BOTTLENECK_FIELD_BOTTLENECKFIELD_START
7b000028 2800007b = FX_VIRUSCAST_SPLIT_BOTTLENECK_FIELD_BOTTLENECK_FIELD
7c000028 2800007c = FX_VIRUSCAST_SPLIT_CANCEL_UPGRADE_CANCELUPGRADE1_END
