Magic: 04001a1a
Num anim entries: 5442
c900 00c9 = AD_D_SR_DodgeFromHR_ADLb
ca00 00ca = AD_D_SR_DodgeFromLB_ADLb
cb00 00cb = AD_D_SR_DodgeFromLF_ADLb
cc00 00cc = AD_D_SR_DodgeFromLL_ADLb
cd00 00cd = AD_D_SR_DodgeFromLR_ADLb
ce00 00ce = AD_D_SR_DodgeFromMB_ADLb
cf00 00cf = AD_D_SR_DodgeFromMF_ADLb
d000 00d0 = AD_D_SR_DodgeFromML_ADLb
d100 00d1 = AD_D_SR_DodgeFromMR_ADLb
e700 00e7 = AD_D_SR_FailedPunch_ADLb_B50
8515 1585 = AD_D_SR_FailedPunch_FVLb_B50
e800 00e8 = AD_D_XR_ADLb_SPeg
e900 00e9 = AD_D_XR_ADLb_SSeg
ea00 00ea = AD_Idle1
eb00 00eb = AD_Idle2
ec00 00ec = AD_Idle3
ce0f 0fce = AD_Idle3B
cf0f 0fcf = AD_Idle3C
ed00 00ed = AD_Move_B100
ee00 00ee = AD_Move_F100
ef00 00ef = AD_Move_L50
f000 00f0 = AD_Move_R50
f100 00f1 = AD_Shift_B25
f200 00f2 = AD_Shift_B50
f300 00f3 = AD_Shift_F25
0e0f 0f0e = AD_Shift_F300
f400 00f4 = AD_Shift_F50
f500 00f5 = AD_Turn180
f600 00f6 = AD_TurnL
f700 00f7 = AD_TurnR
f800 00f8 = AP_APLb_ALb
7b14 147b = AP_APLb_Aggro
f900 00f9 = AP_APLb_iLb
fc00 00fc = AP_A_SRFM_PegAMF_APCollarboneBreak
fd00 00fd = AP_A_SRFM_PegBHF_APShoulderLock_B50
fe00 00fe = AP_A_SRFM_PegCHR_APIrimi_B50
ff00 00ff = AP_A_SR_APLb_PegAMF_F50
0001 0100 = AP_A_SR_APLb_PegBHF_F50
0101 0101 = AP_A_SR_APLb_PegCHR_F50
0201 0102 = AP_A_SR_PegAMF_APLb
0301 0103 = AP_A_SR_PegAMF_APLb_B50
0401 0104 = AP_A_SR_PegAMF_PegBHF
0501 0105 = AP_A_SR_PegAMF_PegBHF_F50
0601 0106 = AP_A_SR_PegBHF_APLb
0701 0107 = AP_A_SR_PegBHF_APLb_B50
0801 0108 = AP_A_SR_PegBHF_PegCHR
0901 0109 = AP_A_SR_PegBHF_PegCHR_F50
0a01 010a = AP_A_SR_PegCHR_APLb
0b01 010b = AP_A_SR_PegCHR_APLb_B50
0c01 010c = AP_A_SR_PegCHR_PegAMF
0d01 010d = AP_A_SR_PegCHR_PegAMF_F50
fa00 00fa = AP_Arc_L40
fb00 00fb = AP_Arc_R40
0e01 010e = AP_D_SR_APLb_BPegHF
0f01 010f = AP_D_SR_APLb_BPegHL
1001 0110 = AP_D_SR_APLb_BPegHR
1101 0111 = AP_D_SR_APLb_BPegLF
1201 0112 = AP_D_SR_APLb_BPegLL
1301 0113 = AP_D_SR_APLb_BPegLR
1401 0114 = AP_D_SR_APLb_BPegMF
1501 0115 = AP_D_SR_APLb_BPegML
1601 0116 = AP_D_SR_APLb_BPegMR
1701 0117 = AP_D_SR_APLb_BSegA
1801 0118 = AP_D_SR_APLb_BSegB
1901 0119 = AP_D_SR_APLb_BSegC
1a01 011a = AP_D_SR_APLb_DPegHF
1b01 011b = AP_D_SR_APLb_DPegHL
1c01 011c = AP_D_SR_APLb_DPegHR
1d01 011d = AP_D_SR_APLb_DPegLF
1e01 011e = AP_D_SR_APLb_DPegLL
1f01 011f = AP_D_SR_APLb_DPegLR
2001 0120 = AP_D_SR_APLb_DPegMF
2101 0121 = AP_D_SR_APLb_DPegML
2201 0122 = AP_D_SR_APLb_DPegMR
2301 0123 = AP_D_SR_APLb_DSegA
2401 0124 = AP_D_SR_APLb_DSegB
2501 0125 = AP_D_SR_APLb_DSegC
2601 0126 = AP_D_SR_APLb_FailedPunch_F50
2701 0127 = AP_D_SR_APLb_HPeg
2801 0128 = AP_D_SR_APLb_HSeg
2901 0129 = AP_D_SR_BPegHF_APLb
2a01 012a = AP_D_SR_BPegHF_APLb_B50
2b01 012b = AP_D_SR_BPegHL_APLb
2c01 012c = AP_D_SR_BPegHL_APLb_B50
2d01 012d = AP_D_SR_BPegHR_APLb
2e01 012e = AP_D_SR_BPegHR_APLb_B50
2f01 012f = AP_D_SR_BPegLF_APLb
3001 0130 = AP_D_SR_BPegLF_APLb_B50
3101 0131 = AP_D_SR_BPegLL_APLb
3201 0132 = AP_D_SR_BPegLL_APLb_B50
3301 0133 = AP_D_SR_BPegLR_APLb
3401 0134 = AP_D_SR_BPegLR_APLb_B50
3501 0135 = AP_D_SR_BPegMF_APLb
3601 0136 = AP_D_SR_BPegMF_APLb_B50
3701 0137 = AP_D_SR_BPegML_APLb
3801 0138 = AP_D_SR_BPegML_APLb_B50
3901 0139 = AP_D_SR_BPegMR_APLb
3a01 013a = AP_D_SR_BPegMR_APLb_B50
3b01 013b = AP_D_SR_BSegA_APLb
3c01 013c = AP_D_SR_BSegB_APLb
3d01 013d = AP_D_SR_BSegC_APLb
3e01 013e = AP_D_SR_DPegHF_APLb
3f01 013f = AP_D_SR_DPegHF_APLb_B50
4001 0140 = AP_D_SR_DPegHL_APLb
4101 0141 = AP_D_SR_DPegHL_APLb_B50
4201 0142 = AP_D_SR_DPegHR_APLb
4301 0143 = AP_D_SR_DPegHR_APLb_B50
4401 0144 = AP_D_SR_DPegLF_APLb
4501 0145 = AP_D_SR_DPegLF_APLb_B50
4601 0146 = AP_D_SR_DPegLL_APLb
4701 0147 = AP_D_SR_DPegLL_APLb_B50
4801 0148 = AP_D_SR_DPegLR_APLb
4901 0149 = AP_D_SR_DPegLR_APLb_B50
4a01 014a = AP_D_SR_DPegMF_APLb
4b01 014b = AP_D_SR_DPegMF_APLb_B50
4c01 014c = AP_D_SR_DPegML_APLb
4d01 014d = AP_D_SR_DPegML_APLb_B50
4e01 014e = AP_D_SR_DPegMR_APLb
4f01 014f = AP_D_SR_DPegMR_APLb_B50
5001 0150 = AP_D_SR_DSegA_APLb
5101 0151 = AP_D_SR_DSegB_APLb
5201 0152 = AP_D_SR_DSegC_APLb
bd15 15bd = AP_D_SR_FailedPunch_APLb_B50
8615 1586 = AP_D_SR_FailedPunch_FVLb_B50
5301 0153 = AP_D_XR_APLb_SPeg
5401 0154 = AP_D_XR_APLb_SSeg
5501 0155 = AP_Idle1
5601 0156 = AP_Idle2
5701 0157 = AP_Idle3
d00f 0fd0 = AP_Idle3B
d10f 0fd1 = AP_Idle3C
5801 0158 = AP_Move_B100
5901 0159 = AP_Move_F100
5a01 015a = AP_Move_L50
5b01 015b = AP_Move_R50
5c01 015c = AP_Shift_B25
5d01 015d = AP_Shift_B50
5e01 015e = AP_Shift_F25
0f0f 0f0f = AP_Shift_F300
5f01 015f = AP_Shift_F50
6001 0160 = AP_Turn180
6101 0161 = AP_TurnL
6201 0162 = AP_TurnR
6501 0165 = AS_ASLb_ALb
7c14 147c = AS_ASLb_Aggro
6601 0166 = AS_ASLb_iLb
6701 0167 = AS_A_SRFM_SegA_ASFallingThrow_B190
6801 0168 = AS_A_SRFM_SegB_ASLapelPullThrow
6901 0169 = AS_A_SRFM_SegC_ASArmBarTakedown_B50
6a01 016a = AS_A_SR_ASLb_SegA_F50
6b01 016b = AS_A_SR_ASLb_SegB_F50
6c01 016c = AS_A_SR_ASLb_SegC_F50
6d01 016d = AS_A_SR_SegA_ASLb_B50
6e01 016e = AS_A_SR_SegA_SegB
6f01 016f = AS_A_SR_SegA_SegB_F100
7001 0170 = AS_A_SR_SegB_ASLb_B50
7101 0171 = AS_A_SR_SegB_SegC
7201 0172 = AS_A_SR_SegB_SegC_F100
7301 0173 = AS_A_SR_SegC_ASLb_B50
7401 0174 = AS_A_SR_SegC_SegA
7501 0175 = AS_A_SR_SegC_SegA_F100
6301 0163 = AS_Arc_L40
6401 0164 = AS_Arc_R40
7601 0176 = AS_D_SR_ASLb_BSegA
7701 0177 = AS_D_SR_ASLb_BSegB
7801 0178 = AS_D_SR_ASLb_BSegC
2415 1524 = AS_D_SR_ASLb_DPegHF
2515 1525 = AS_D_SR_ASLb_DPegHL
2615 1526 = AS_D_SR_ASLb_DPegHR
2715 1527 = AS_D_SR_ASLb_DPegLF
2815 1528 = AS_D_SR_ASLb_DPegLL
2915 1529 = AS_D_SR_ASLb_DPegLR
2a15 152a = AS_D_SR_ASLb_DPegMF
2c15 152c = AS_D_SR_ASLb_DPegMR
7901 0179 = AS_D_SR_ASLb_DSegA
7a01 017a = AS_D_SR_ASLb_DSegB
7b01 017b = AS_D_SR_ASLb_DSegC
2b15 152b = AS_D_SR_ASLb_DpegML
7c01 017c = AS_D_SR_ASLb_FailedPunch_F50
7d01 017d = AS_D_SR_ASLb_HPeg
7e01 017e = AS_D_SR_ASLb_HSeg
7f01 017f = AS_D_SR_BSegA_ASLb
8001 0180 = AS_D_SR_BSegA_BSegB
8101 0181 = AS_D_SR_BSegA_BSegB_B100
8201 0182 = AS_D_SR_BSegB_ASLb
8301 0183 = AS_D_SR_BSegB_BSegC
8401 0184 = AS_D_SR_BSegB_BSegC_B100
8501 0185 = AS_D_SR_BSegC_ASLb
8601 0186 = AS_D_SR_BSegC_BSegA
8701 0187 = AS_D_SR_BSegC_BSegA_B100
2d15 152d = AS_D_SR_DPegHF_ASLb
2e15 152e = AS_D_SR_DPegHF_ASLb_B50
2f15 152f = AS_D_SR_DPegHL_ASLb
b115 15b1 = AS_D_SR_DPegHL_ASLb_B50
3015 1530 = AS_D_SR_DPegHR_ASLb
3115 1531 = AS_D_SR_DPegHR_ASLb_B50
3215 1532 = AS_D_SR_DPegLF_ASLb
3315 1533 = AS_D_SR_DPegLF_ASLb_B50
3415 1534 = AS_D_SR_DPegLL_ASLb
3515 1535 = AS_D_SR_DPegLL_ASLb_B50
3815 1538 = AS_D_SR_DPegMF_ASLb
3915 1539 = AS_D_SR_DPegMF_ASLb_B50
3a15 153a = AS_D_SR_DPegML_ASLb
3b15 153b = AS_D_SR_DPegML_ASLb_B50
3c15 153c = AS_D_SR_DPegMR_ASLb
3d15 153d = AS_D_SR_DPegMR_ASLb_B50
8801 0188 = AS_D_SR_DSegA_ASLb
8901 0189 = AS_D_SR_DSegA_DSegB
8a01 018a = AS_D_SR_DSegA_DSegB_B100
8b01 018b = AS_D_SR_DSegB_ASLb
8c01 018c = AS_D_SR_DSegB_DSegC
8d01 018d = AS_D_SR_DSegB_DSegC_B100
8e01 018e = AS_D_SR_DSegC_ASLb
8f01 018f = AS_D_SR_DSegC_DSegA
9001 0190 = AS_D_SR_DSegC_DSegA_B100
3615 1536 = AS_D_SR_DpegLR_ASLb
3715 1537 = AS_D_SR_DpegLR_ASLb_B50
be15 15be = AS_D_SR_FailedPunch_ASLb_B50
8715 1587 = AS_D_SR_FailedPunch_FVLb_B50
9101 0191 = AS_D_XR_ASLb_SPeg
9201 0192 = AS_D_XR_ASLb_SSeg
9301 0193 = AS_Idle1
9401 0194 = AS_Idle2
9501 0195 = AS_Idle3
d20f 0fd2 = AS_Idle3B
d30f 0fd3 = AS_Idle3C
9601 0196 = AS_Move_B100
9701 0197 = AS_Move_F100
9801 0198 = AS_Move_L50
9901 0199 = AS_Move_R50
9a01 019a = AS_Shift_B25
9b01 019b = AS_Shift_B50
9c01 019c = AS_Shift_F25
100f 0f10 = AS_Shift_F300
9d01 019d = AS_Shift_F50
9e01 019e = AS_Turn180
9f01 019f = AS_TurnL
a001 01a0 = AS_TurnR
a101 01a1 = A_ALb_ADLb
a201 01a2 = A_ALb_APLb
a301 01a3 = A_ALb_ASLb
7d14 147d = A_ALb_Aggro
a401 01a4 = A_ALb_iLb
a501 01a5 = A_A_LR_ALb_AMoveToMRSolo_F250
a601 01a6 = A_A_MR_ALbMoveToSRSolo_PegCHR_F300
a701 01a7 = A_A_MR_ALb_AMoveToSR_F125
a801 01a8 = A_A_SRPA_ALb_ProneAttack
ab01 01ab = A_A_SRSM_ALb_ASwordAttack_F50
a901 01a9 = A_A_SRSM_ALb_AerialTakedown
aa01 01aa = A_A_SRSM_ALb_ArmBarToKotoG_B50
ac01 01ac = A_A_SRSM_ALb_BendLikeReed
ad01 01ad = A_A_SRSM_ALb_CntrThrowVsSMPunch_F50
ae01 01ae = A_A_SRSM_ALb_FootPullVsAerial_B50
af01 01af = A_A_SRSM_ALb_IronGuard
b001 01b0 = A_A_SRSM_ALb_KickRevBlowout
b101 01b1 = A_A_SRSM_ALb_MakiOfootsweep
b201 01b2 = A_A_SRSM_ALb_PerfectSelf
2b14 142b = A_A_SRSM_ALb_PerfectSelf_A
b301 01b3 = A_A_SRSM_ALb_RevSlamChicken
b401 01b4 = A_A_SRSM_ALb_SpinClayPigeon_F100
b501 01b5 = A_A_SRSM_ALb_TomoNage
da10 10da = A_A_SR_ACounterSneakMF
b601 01b6 = A_A_SR_ALb_DualWeaponDisarm
b701 01b7 = A_A_SR_ALb_PistolDisarm
b801 01b8 = A_A_SR_ALb_RifleDisarm
b901 01b9 = A_A_SR_ALb_SubMDisarm
ba01 01ba = A_D_MR_ALb_DSegCA
bb01 01bb = A_D_MR_ALb_DSegCB
bc01 01bc = A_D_MR_ALb_DSegCC
bd01 01bd = A_D_MR_ALb_DSegWA
be01 01be = A_D_MR_ALb_DSegWB
bf01 01bf = A_D_MR_ALb_DSegWC
7410 1074 = A_D_MR_ATackleBlockedTackleMFDir0
7510 1075 = A_D_MR_ATackleBlockedTackleMFDir1
7610 1076 = A_D_MR_ATackleBlockedTackleMFDir2
7710 1077 = A_D_MR_ATackleBlockedTackleMFDir3
7810 1078 = A_D_MR_ATackleBlockedTackleMFDir4
7910 1079 = A_D_MR_ATackleBlockedTackleMFDir5
7a10 107a = A_D_MR_ATackleBlockedTackleMFDir6
7b10 107b = A_D_MR_ATackleBlockedTackleMFDir7
c001 01c0 = A_D_MR_DSegCA_ALb
c101 01c1 = A_D_MR_DSegCA_DSegCB
c201 01c2 = A_D_MR_DSegCB_ALb
c301 01c3 = A_D_MR_DSegCB_DSegCC
c401 01c4 = A_D_MR_DSegCC_ALb
c501 01c5 = A_D_MR_DSegCC_DSegCA
c601 01c6 = A_D_MR_DSegWA_ALb
c701 01c7 = A_D_MR_DSegWA_DSegWB
c801 01c8 = A_D_MR_DSegWB_ALb
c901 01c9 = A_D_MR_DSegWB_DSegWC
ca01 01ca = A_D_MR_DSegWC_ALb
cb01 01cb = A_D_MR_DSegWC_DSegWA
cc01 01cc = A_D_XR_DSegA_DSegB_L200
cd01 01cd = A_D_XR_DSegA_DSegB_R200
ce01 01ce = A_D_XR_DSegB_DSegC_L200
cf01 01cf = A_D_XR_DSegB_DSegC_R200
d001 01d0 = A_D_XR_DSegC_DSegA_L200
d101 01d1 = A_D_XR_DSegC_DSegA_R200
c40e 0ec4 = Aggro
c30e 0ec3 = Aggro-Stand
8812 1288 = Aggro-Stand_RunB
8912 1289 = Aggro-Stand_RunF
8a12 128a = Aggro-Stand_StrafeRunL
8b12 128b = Aggro-Stand_StrafeRunR
8c12 128c = Aggro-Stand_WalkB
8d12 128d = Aggro-Stand_WalkF
c514 14c5 = Aggro_FreeAttackAikido1
c614 14c6 = Aggro_FreeAttackAikido2
c714 14c7 = Aggro_FreeAttackAikido3
b814 14b8 = Aggro_FreeAttackKarate1
c814 14c8 = Aggro_FreeAttackKarate2
c914 14c9 = Aggro_FreeAttackKarate3
ca14 14ca = Aggro_FreeAttackSelfD1
cb14 14cb = Aggro_FreeAttackSelfD2
cc14 14cc = Aggro_FreeAttackSelfD3
dd0e 0edd = Aggro_FreeAttackWeaponDualPistol
de0e 0ede = Aggro_FreeAttackWeaponDualSubM
d814 14d8 = Aggro_FreeAttackWeaponFlitGun
df0e 0edf = Aggro_FreeAttackWeaponPistol
e00e 0ee0 = Aggro_FreeAttackWeaponRifle
d215 15d2 = Aggro_FreeAttackWeaponSM3RoundBurst
c811 11c8 = Aggro_FreeAttackWeaponSMDualSubMDirectFire
c111 11c1 = Aggro_FreeAttackWeaponSMDualSubMFullAuto
ca11 11ca = Aggro_FreeAttackWeaponSMDualSubMFullAutoRedux
c211 11c2 = Aggro_FreeAttackWeaponSMDualSubMPinningFire
9611 1196 = Aggro_FreeAttackWeaponSMKnifeThrow
9c11 119c = Aggro_FreeAttackWeaponSMMiniFlashBomb
4811 1148 = Aggro_FreeAttackWeaponSMPistolBarrage
3711 1137 = Aggro_FreeAttackWeaponSMPistolDisarmingShot
4911 1149 = Aggro_FreeAttackWeaponSMPistolEvasion
d315 15d3 = Aggro_FreeAttackWeaponSMPistolExecution
3a11 113a = Aggro_FreeAttackWeaponSMPistolHinderingShot
4a11 114a = Aggro_FreeAttackWeaponSMRifleBodyShot
ad11 11ad = Aggro_FreeAttackWeaponSMRifleCripplingShot
af11 11af = Aggro_FreeAttackWeaponSMRifleDeadlyShot
4b11 114b = Aggro_FreeAttackWeaponSMRifleDisablingShot
4c11 114c = Aggro_FreeAttackWeaponSMRifleImmobilizingShot
4411 1144 = Aggro_FreeAttackWeaponSMRifleRifleThreeRoundBurst
ae11 11ae = Aggro_FreeAttackWeaponSMRifleSteadyAim
4511 1145 = Aggro_FreeAttackWeaponSMSubMBulletSpray
4611 1146 = Aggro_FreeAttackWeaponSMSubMControlledBurst
3811 1138 = Aggro_FreeAttackWeaponSMSubMCoveringFire
4711 1147 = Aggro_FreeAttackWeaponSMSubMSuppressionFire 
e10e 0ee1 = Aggro_FreeAttackWeaponSubM
cd14 14cd = Aggro_FreeAttackWushu1
ce14 14ce = Aggro_FreeAttackWushu2
cf14 14cf = Aggro_FreeAttackWushu3
c50e 0ec5 = Aggro_Idle1
c60e 0ec6 = Aggro_Idle2
c70e 0ec7 = Aggro_Idle3
e90f 0fe9 = Aggro_Idle3B
ea0f 0fea = Aggro_Idle3C
3912 1239 = Aggro_RunB
ce0e 0ece = Aggro_RunF
e20e 0ee2 = Aggro_RunFEnd
fa0f 0ffa = Aggro_StandMovementDisruption1_RunF
fe0f 0ffe = Aggro_StandMovementDisruption1_StrafeRunL
ff0f 0fff = Aggro_StandMovementDisruption1_StrafeRunR
fb0f 0ffb = Aggro_StandMovementDisruption2_RunF
0010 1000 = Aggro_StandMovementDisruption2_StrafeRunL
0110 1001 = Aggro_StandMovementDisruption2_StrafeRunR
fc0f 0ffc = Aggro_StandMovementDisruption3_RunF
0210 1002 = Aggro_StandMovementDisruption3_StrafeRunL
0310 1003 = Aggro_StandMovementDisruption3_StrafeRunR
fd0f 0ffd = Aggro_StandMovementDisruption_WalkF
cf0e 0ecf = Aggro_StrafeRunL
d00e 0ed0 = Aggro_StrafeRunR
d10e 0ed1 = Aggro_TurnL
d20e 0ed2 = Aggro_TurnR
d30e 0ed3 = Aggro_WalkB
d40e 0ed4 = Aggro_WalkF
d701 01d7 = B_A_SRSM_SuckBlood
d501 01d5 = B_A_SRSM_iLb_ProneFSuckBlood
d601 01d6 = B_A_SRSM_iLb_ProneSuckBlood
d201 01d2 = Base
6711 1167 = BedLayLeft-Stand
6811 1168 = BedLayLeft_Idle1
6911 1169 = BedLayRight-Stand
6a11 116a = BedLayRight_Idle1
d401 01d4 = Blind_Loop
d301 01d3 = Blinded_Idle1
6f11 116f = CharacterSetup_CityWalk
7011 1170 = CharacterSetup_CityWalkEndLoop
7b11 117b = CharacterSetup_CityWalkEndLoop1
7c11 117c = CharacterSetup_CityWalkEndLoop2
d801 01d8 = Confused_Idle1
d901 01d9 = Cower
da01 01da = Crawl-Stand
db01 01db = Crawl_Idle1
dc01 01dc = Crawl_Idle2
dd01 01dd = Crawl_TurnL
de01 01de = Crawl_TurnR
df01 01df = Crawl_WalkB
e001 01e0 = Crawl_WalkF
e101 01e1 = Crippled_iLb
1214 1412 = Crumple
b215 15b2 = Cryptos_inGame_idle
b315 15b3 = Cryptos_inGame_idle_talk
b415 15b4 = Cryptos_inGame_idle_talk_long
b515 15b5 = Cryptos_inGame_talk2
b615 15b6 = Cryptos_inGame_talk3
b715 15b7 = Cryptos_inGame_talk4
b815 15b8 = Cryptos_inGame_talk5
b915 15b9 = Cryptos_inGame_talk_idle
e401 01e4 = DD_A_MR_DDLbAerialRtFiring_R200
e501 01e5 = DD_A_MR_DDLbCartLFiring_L200
e601 01e6 = DD_A_MR_DDLbRollBkFireFromKnee_B50
